word,count
call,357
free,226
txt,170
mobile,128
text,126
stop,124
claim,113
reply,104
www,98
prize,93
get,86
cash,76
nokia,71
send,70
new,69
win,65
urgent,63
week,60
tone,60
service,56
contact,56
com,54
msg,53
guaranteed,50
customer,49
ppm,46
per,46
box,46
phone,46
chat,45
min,43
mins,41
draw,39
awarded,38
latest,36
sms,36
camera,35
line,35
message,34
receive,33
find,33
every,33
holiday,32
landline,32
video,32
pobox,31
ringtone,31
shows,31
rate,30
apply,30
code,30
want,30
number,30
live,29
entry,28
award,28
offer,27
orange,27
chance,27
tones,26
collection,26
word,25
network,25
selected,25
mob,25
know,25
help,25
valid,24
cost,24
day,24
weekly,24
back,23
collect,23
national,22
hrs,22
attempt,22
update,21
http,21
delivery,21
bonus,21
today,21
vouchers,21
gift,21
music,21
sae,21
club,20
poly,20
colour,19
special,19
account,19
see,19
games,19
texts,19
await,19
time,19
info,18
play,18
private,18
age,18
unsubscribe,18
price,18
land,18
pounds,17
tried,17
waiting,17
expires,17
todays,17
services,17
name,17
suite,17
double,17
dating,17
opt,17
final,16
winner,16
days,16
next,16
statement,16
points,16
identifier,16
top,16
real,16
join,16
ltd,16
row,16
mobileupd,16
dear,16
voucher,16
tell,16
auction,16
net,15
camcorder,15
end,15
trying,15
operator,15
quiz,15
sexy,15
hot,15
lands,15
wjhl,15
xmas,15
wkly,14
freemsg,14
order,14
content,14
someone,14
congratulations,14
take,14
savamob,14
wan,14
pic,14
like,13
last,13
gbp,13
make,13
easy,13
txts,13
messages,13
mths,13
half,13
calls,13
worth,13
offers,13
mates,13
xxx,12
mobiles,12
charged,12
complimentary,12
caller,12
player,12
reveal,12
anytime,12
calloptout,12
phones,12
rental,12
ipod,12
redeemed,12
important,12
good,12
pics,12
valued,11
reward,11
wap,11
dogging,11
friend,11
hmv,11
motorola,11
sex,11
enjoy,11
great,11
comp,10
news,10
tomorrow,10
congrats,10
representative,10
speak,10
sent,10
direct,10
txting,10
optout,10
date,10
secret,10
admirer,10
thinks,10
unlimited,10
choose,10
charge,10
custcare,10
currently,10
love,10
ldn,10
welcome,10
getzed,10
either,10
need,10
ntt,10
part,10
enter,10
ringtones,10
std,9
fun,9
use,9
credit,9
england,9
specially,9
numbers,9
rates,9
msgs,9
looking,9
ldew,9
credits,9
rcvd,9
fancy,9
balance,9
bluetooth,9
discount,9
weeks,9
game,9
best,9
comuk,9
charity,9
del,9
flag,9
weekend,9
entitled,8
month,8
inc,8
ending,8
sunshine,8
sony,8
freephone,8
answer,8
first,8
terms,8
sub,8
shopping,8
shop,8
euro,8
area,8
one,8
matches,8
summer,8
store,8
polys,8
user,8
lucky,8
digital,8
information,8
awaiting,8
babe,8
details,8
may,7
question,7
miss,7
try,7
etc,7
dvd,7
years,7
biz,7
start,7
horny,7
loyalty,7
minute,7
access,7
maximize,7
logo,7
tenerife,7
visit,7
unsub,7
within,7
spree,7
pound,7
fantastic,7
could,7
bid,7
extra,7
yrs,7
give,7
skxh,7
guess,7
log,7
onto,7
got,7
croydon,7
plus,7
costa,7
sol,7
costå¼,7
saturday,7
hours,6
link,6
replying,6
year,6
flights,6
match,6
standard,6
inviting,6
frnd,6
goto,6
meet,6
even,6
tncs,6
handset,6
questions,6
keep,6
calling,6
entered,6
vary,6
member,6
announcement,6
guys,6
vodafone,6
holder,6
txtauction,6
book,6
wwq,6
normp,6
zed,6
asap,6
gay,6
asked,6
sipix,6
ans,6
urawinner,6
luck,6
ready,6
fantasies,6
arrive,6
arcade,6
toclaim,6
stockport,6
maxmins,6
sky,6
tariffs,6
night,6
cup,5
months,5
click,5
subscription,5
pass,5
following,5
weekends,5
voda,5
quoting,5
locations,5
eca,5
must,5
local,5
luv,5
mtmsg,5
partner,5
singles,5
themob,5
selection,5
sport,5
december,5
mths+,5
sonyericsson,5
true,5
eve,5
poboxwwq,5
contacted,5
activate,5
immediately,5
polyphonic,5
login,5
care,5
talk,5
friends,5
cds,5
records,5
girls,5
videophones,5
videochat,5
wid,5
java,5
dload,5
noline,5
rentl,5
girl,5
revealed,5
invited,5
xchat,5
surprise,5
place,5
cum,5
callså¼,5
+only,5
linerental,5
reach,5
eerie,5
rply,5
buy,5
computer,5
well,5
fone,5
official,5
inclusive,5
spook,5
fantasy,5
crazy,5
cancel,5
minutes,5
nat,5
tkts,4
rcv,4
team,4
correct,4
review,4
trip,4
unredeemed,4
app,4
country,4
ansr,4
tyrone,4
laid,4
largest,4
nothing,4
netcollex,4
flirt,4
recd,4
comwinppmxage,4
card,4
ends,4
check,4
think,4
reference,4
close,4
post,4
wcnxx,4
loan,4
purpose,4
tenants,4
refused,4
tcs,4
cwwx,4
nyt,4
conditions,4
ring,4
paris,4
daily,4
forwarded,4
break,4
skilgme,4
muz,4
qxj,4
cust,4
remove,4
ibiza,4
vip,4
address,4
sale,4
cheap,4
money,4
away,4
getting,4
tcr,4
contract,4
registered,4
subscriber,4
bored,4
let,4
future,4
takes,4
wrc,4
rally,4
lucozade,4
jordan,4
delivered,4
txtin,4
jamster,4
original,4
msgrcvdhg,4
textpod,4
pod,4
nite,4
hope,4
brand,4
king,4
london,4
moby,4
action,4
going,4
bahamas,4
alert,4
exciting,4
would,4
done,4
freefone,4
starting,4
tscs,4
yer,4
eng,4
wwx,4
starts,4
pix,4
ntwk,4
ref,4
adult,4
hit,4
show,4
porn,4
fromm,4
bloomberg,4
picked,4
santa,4
six,3
red,3
cinema,3
suprman,3
matrix,3
starwars,3
pleased,3
advise,3
recent,3
hear,3
comes,3
simply,3
password,3
mix,3
verify,3
download,3
dream,3
soon,3
followed,3
sam,3
pence,3
networks,3
genuine,3
percent,3
upgrade,3
newest,3
germany,3
via,3
available,3
mobilesdirect,3
orstoptxt,3
competition,3
heart,3
ave,3
bcm,3
homeowners,3
previously,3
notice,3
ibhltd,3
ldnwh,3
mono,3
boxqu,3
ladies,3
kick,3
kept,3
results,3
postcode,3
tlp,3
work,3
textoperator,3
csbcmwcnxx,3
maxå¼,3
subscribed,3
city,3
tscswinawk,3
perwksub,3
ever,3
life,3
subpoly,3
alfie,3
moon,3
children,3
song,3
nokias,3
profit,3
five,3
supply,3
liverpool,3
male,3
validhrs,3
polyph,3
fancies,3
people,3
receipt,3
yesterday,3
many,3
energy,3
celeb,3
pocketbabe,3
voicemail,3
choice,3
textcomp,3
lions,3
saucy,3
photo,3
arsenal,3
alone,3
xxxxxxxxx,3
minmobsmorelkpoboxhpfl,3
high,3
strong,3
shortly,3
ringtoneking,3
stay,3
title,3
titles,3
bill,3
ordered,3
hard,3
biggest,3
tour,3
tickets,3
chosen,3
press,3
settings,3
purchase,3
costs,3
xxxxxxx,3
abta,3
right,3
provided,3
downloads,3
members,3
skillgame,3
winaweek,3
